OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea
8837,1972,3,3,91
8851,1961,9,4,3659
8870,1930,6,4,172
8891,1960,6,4,188
8932,1940,3,4,109
8933,1948,3,3,34
8941,1960,3,3,109
8949,1940,6,3,184
8981,1960,3,3,104
9025,1976,6,3,348
9028,1980,3,3,128
9029,1968,3,3,106
9030,1980,6,3,187
9031,1987,3,3,105
9123,1998,3,4,187
9143,1966,12,3,880
9144,1966,12,3,435
9163,1950,3,3,90
9184,1920,9,4,3076
9185,2020,9,4,2139
9187,2016,3,4,2314
9188,2020,6,4,1675
9198,1983,9,4,713
9201,1951,6,3,334
9214,1950,9,4,262
9230,1960,6,4,2108
9235,1940,3,4,710
9266,1941,9,4,311
9296,1960,15,4,755
9306,1961,3,3,15
9312,1951,6,4,140
9322,1973,24,4,11824
9325,1957,6,4,77
9339,1974,6,4,120
9341,1969,9,4,350
9342,1942,12,4,881
9344,1960,6,3,15
9348,1909,9,4,221
9361,1976,12,4,1010
9372,1951,6,4,200
9377,1961,6,4,103
9398,1965,6,4,207
9411,1962,12,4,467
9417,1960,6,4,263
9419,1991,18,4,1002
9421,1984,6,4,211
9434,1929,3,3,104
9459,1940,3,3,62
9473,1919,9,4,602
9474,1914,9,4,368
9496,1919,12,4,304
9525,1963,12,4,305
9539,1998,24,4,1847
9544,1932,9,4,291
9557,1970,3,3,10
9569,1960,6,3,3190
9570,1960,6,3,80
9574,1970,9,4,3220
9580,1931,9,4,369
9584,1947,6,4,293
9588,1942,3,3,25
9591,1990,12,4,206
9592,1990,12,4,206
9603,1940,9,3,1219
9604,1980,3,3,110
9605,1940,3,4,529
9616,1990,24,4,1789
9617,1945,9,4,292
9628,2001,21,4,23169
9629,2009,3,4,127
9660,1959,3,4,1641
9676,2012,12,4,4891
9735,1965,6,3,270
9749,1947,3,3,1814
9824,1960,9,4,521
9825,1975,6,4,912
9853,1996,12,4,1165
9929,1950,3,3,31
10018,2000,3,N,0
10042,2000,3,N,0
10043,2008,18,4,16141
10045,1992,24,4,20273
10048,1969,3,3,291
10049,1969,3,3,146
10055,2000,0,N,0
10056,1981,6,3,541
10057,1983,3,4,515
10058,1987,6,3,437
10071,1908,3,3,96
10098,1940,6,4,370
10106,1945,6,4,454
10120,1995,15,3,392
10123,1997,6,3,388
10136,1900,12,4,875
10138,2002,3,4,190
10151,1979,24,4,1178
10169,1900,6,4,293
10172,1900,9,4,548
10173,1900,9,4,196
10175,1900,3,3,212
10179,1954,12,4,981
10193,1960,12,4,942
10195,1962,6,4,333
10199,1982,18,4,3735
10200,1980,18,4,18096
10244,1919,6,3,1903
10245,1908,21,4,17367
10257,1913,9,3,12075
10258,1950,3,3,11
10261,1960,3,3,5923
10280,1930,3,3,75
10326,1975,9,3,38
10336,1920,6,3,267
10367,1980,6,4,3778
10371,1984,3,3,30
10372,1973,9,3,215
10397,1914,3,4,77
10426,1959,9,4,257
10439,1936,3,3,205
10455,1986,9,3,50
10501,1972,6,3,90
10524,1976,3,4,736
10525,1970,3,3,1037
10526,1976,3,3,1050
10527,1976,3,3,1008
10528,1976,3,3,267
10529,1988,6,3,1901
10530,1970,3,3,807
10531,1976,3,3,267
10532,1970,3,3,799
10533,1970,3,3,264
10534,1970,3,3,264
10535,1979,6,3,2725
10536,1979,3,3,1184
10537,1978,6,3,2547
10538,1979,3,3,647
10539,1979,3,3,872
10540,1990,3,3,330
10541,1974,9,3,1721
10542,1974,6,3,1082
10543,1974,3,3,12
10544,1974,3,3,754
10545,1974,3,3,845
10546,1988,6,3,745
10547,1987,3,3,297
10548,1987,3,3,290
10549,1987,3,3,283
10550,1974,6,3,3192
10551,1995,3,3,3387
10555,1964,12,4,1812
10587,1994,15,4,969
10589,1900,6,4,225
10591,1976,12,4,438
10600,1920,6,3,287
10604,1910,3,3,54
10607,1960,12,4,283
10610,1998,21,4,5608
10612,1953,18,4,8568
10613,1965,18,4,1870
10619,1980,18,3,3720
10623,1936,9,4,469
10629,1977,18,4,2041
10630,1978,12,4,539
10631,1900,3,3,330
10632,1977,18,4,1412
10633,1978,15,4,659
10636,1968,18,4,2585
10641,1959,9,4,1074
10652,1936,12,4,364
10656,1936,6,4,330
10660,1936,9,4,227
10661,1936,9,3,250
10664,1936,12,4,389
10665,1936,15,4,476
10666,1936,12,4,462
10668,1936,12,4,332
10669,1936,9,4,195
10671,1947,18,4,1629
10675,1936,15,4,4842
10682,1990,15,4,358
10684,1942,9,3,317
10685,1942,9,4,183
10686,1942,9,4,339
10692,1942,9,4,296
10696,1960,18,4,1044
10700,1942,9,4,306
10709,1900,6,4,5132
10747,1945,3,3,39
10783,1900,9,3,6439
10784,1900,3,3,1843
10794,1921,9,4,2438
10795,1949,6,3,1557
10796,1935,9,3,229
10797,1940,9,3,1520
10798,1919,6,3,1190
10800,1941,15,3,2444
10802,1939,3,3,290
10803,1993,6,4,8578
10804,2000,12,4,2692
10805,1962,3,3,18
10806,1946,12,3,754
10807,1941,3,3,297
10808,2008,3,3,291
10810,1984,9,3,391
10811,2020,6,3,490
10822,1955,9,3,416
10833,1997,0,3,324
10834,1997,6,3,405
10852,1940,6,4,211
10853,1930,12,3,482
10857,1916,3,3,88
10880,1920,6,N,95
10881,1920,6,N,113
10882,1920,6,N,120
10914,1945,9,4,286
10917,1930,3,3,46
10927,1958,18,4,2101
10931,1965,3,3,128
10970,1955,6,4,756
11013,1978,3,3,32
