OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea,orientation,street_width,second_type
841,1971,3,12,79.99,85.0,8.66,71
846,1971,3,12,,90.0,8.08,71
850,2008,3,12,209.86,85.0,8.17,79
853,1971,3,12,186.21,265.0,7.91,71
856,1971,3,12,,265.0,8.94,71
860,1973,3,12,108.81,350.0,22.52,48
862,2009,3,12,189.52,265.0,8.56,48
866,1997,9,12,985.18,75.0,41.2,48
868,1997,9,12,1140.74,165.0,21.64,79
870,2004,3,12,1639.73,220.0,42.7,71
873,1970,3,12,82.39,30.0,35.64,71
875,1975,3,12,86.96,80.0,19.66,71
880,2003,3,12,781.0,135.0,45.78,48
881,1975,3,12,105.53,255.0,7.06,71
890,2012,6,12,199.31,340.0,11.83,48
892,1980,6,12,200.07,255.0,7.26,79
895,1980,3,12,103.83,255.0,7.23,48
897,1980,3,12,164.7,255.0,17.24,48
899,1979,3,12,102.27,75.0,7.06,71
902,1973,3,12,113.84,305.0,12.18,71
904,1975,3,12,102.26,75.0,7.06,71
906,1975,3,12,91.54,80.0,7.06,71
908,1975,3,12,93.95,80.0,7.05,48
909,1955,6,12,68.37,80.0,7.05,48
915,1975,3,12,100.52,255.0,9.05,71
917,1975,3,12,182.94,305.0,53.29,48
921,1983,3,12,176.49,75.0,19.23,71
925,1984,3,12,151.23,80.0,19.27,71
928,1980,3,12,92.35,80.0,19.28,48
930,1982,3,12,78.07,75.0,19.31,48
934,2008,3,12,152.75,120.0,32.12,71
937,1984,6,12,102.18,260.0,7.05,48
938,1983,3,12,103.51,260.0,7.05,71
942,1993,3,12,74.53,260.0,7.07,48
950,1994,6,12,68.51,80.0,19.55,48
955,1993,3,12,101.02,210.0,8.42,79
957,1998,6,12,137.84,215.0,8.39,48
968,1990,3,12,52.3,310.0,102.28,71
974,1994,9,12,1273.85,260.0,25.15,48
978,2003,3,12,3167.37,190.0,48.41,48
987,2002,6,12,2381.24,280.0,40.79,48
989,2022,6,12,3253.64,100.0,28.44,48
993,1974,3,12,,335.0,6.55,79
996,1949,3,12,,290.0,7.2,48
1001,1959,6,12,,125.0,9.04,48
1002,1961,3,12,16.51,285.0,6.0,71
