OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea,orientation,street_width,second_type
28757,1994,3,9,801.42,75.0,13.6,47
28851,2000,3,9,173.98,75.0,16.15,47
29207,1989,3,9,113.54,260.0,9.77,47
29740,1975,3,9,409.54,255.0,9.92,47
30157,1975,3,9,355.69,345.0,10.19,47
30249,1948,3,9,99.02,80.0,15.95,47
30365,1950,3,9,94.04,350.0,10.38,47
30505,1983,3,9,92.92,170.0,7.94,47
30594,2002,3,9,397.83,105.0,18.81,70
30684,1976,3,9,395.28,255.0,9.83,47
31215,2006,6,9,742.34,205.0,35.69,47
31269,2017,3,9,,230.0,44.15,70
31426,1968,3,9,141.72,260.0,29.92,54
31449,1995,3,9,420.78,345.0,17.33,47
31450,1995,3,9,470.17,260.0,24.34,47
31539,1990,3,9,245.18,260.0,5.49,47
31620,1977,3,9,74.66,30.0,15.86,47
31692,1953,3,9,132.71,350.0,9.89,47
31813,2004,3,9,196.43,0.0,21.0,70
31875,2004,6,9,1658.58,5.0,104.74,54
32258,1972,3,9,104.16,125.0,6.96,70
32388,1991,3,9,1499.96,60.0,93.68,47
32392,1998,3,9,1029.63,20.0,29.39,47
33126,2008,6,9,,350.0,20.16,47
33129,2008,3,9,1857.31,260.0,106.27,47
33137,2018,3,9,,80.0,0.0,47
33266,2005,3,9,130.08,275.0,10.36,70
33422,1970,3,9,232.66,345.0,12.19,47
34318,1964,3,9,183.16,215.0,11.94,47
34747,1960,3,9,88.54,255.0,11.8,47
34779,1958,3,9,178.25,345.0,11.6,47
35483,1996,3,9,848.21,250.0,106.16,47
35666,2008,3,9,2000.78,80.0,10.66,47
35700,2001,3,9,2299.42,255.0,25.18,47
35725,1956,3,9,135.13,50.0,36.46,47
35750,1956,3,9,138.1,100.0,18.66,47
35756,2012,3,9,127.74,190.0,14.98,70
35767,2001,3,9,458.89,315.0,56.33,47
35769,2001,3,9,486.91,90.0,26.03,47
35872,1965,3,9,57.79,270.0,inf,47
35962,1992,3,9,1175.62,10.0,32.61,47
36200,1991,3,9,,350.0,24.61,47
36218,1989,3,9,,175.0,45.95,47
36256,1999,3,9,,305.0,38.16,70
36657,1997,3,9,606.39,305.0,24.47,47
36800,1998,3,9,201.27,245.0,16.97,47
36961,2012,3,9,1107.06,10.0,39.12,70
37146,1996,3,9,197.8,35.0,11.48,47
37361,2011,3,9,,305.0,22.95,70
37562,2010,3,9,569.99,320.0,20.55,47
