OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea
28596,2012,3,2.0,415.2
28599,2002,6,2.0,2948.14
28602,2012,3,2.0,853.57
28605,1999,3,2.0,687.19
28606,2004,3,2.0,3483.67
28643,2001,3,2.0,228.74
28970,2023,3,2.0,169.21
28980,1992,3,2.0,399.77
29112,1980,6,2.0,625.62
29150,2022,3,2.0,
29154,1987,3,2.0,864.77
29168,1956,3,2.0,413.57
29174,1987,3,2.0,
29681,2008,3,2.0,6898.86
29690,2008,9,2.0,2641.59
29692,1997,3,2.0,399.94
29701,1997,3,2.0,846.48
29727,1978,3,2.0,356.18
29758,1974,3,2.0,711.16
29978,1996,3,2.0,402.31
30437,1974,6,2.0,141.21
30493,2008,3,2.0,110.98
30533,1980,3,2.0,1542.4
30537,1993,3,2.0,
30540,2007,3,2.0,397.26
30567,2009,3,2.0,175.2
30570,1995,6,2.0,908.43
30573,2009,6,2.0,1383.48
30577,2007,3,2.0,837.09
30580,1999,3,2.0,140.86
30581,2005,6,2.0,188.94
30586,2009,3,2.0,1002.38
30589,1998,3,2.0,938.24
30591,2007,3,2.0,1256.2
30593,2002,3,2.0,397.83
30624,1959,3,2.0,149.34
30627,1980,3,2.0,78.67
30699,1971,6,2.0,209.95
30750,1993,9,2.0,3862.1
30808,1999,3,2.0,93.53
30824,1979,3,2.0,203.74
30873,1979,3,2.0,137.74
30882,2010,3,2.0,307.47
30889,1984,3,2.0,280.39
30930,1986,3,2.0,635.36
31260,2009,3,2.0,
31262,1962,3,2.0,
31263,2021,9,2.0,6441.73
31268,1961,3,2.0,202.56
31274,1990,3,2.0,396.78
31277,2007,9,2.0,3037.41
31280,2022,3,2.0,856.83
31286,2010,6,2.0,8230.75
31289,1997,3,2.0,1331.98
31427,1982,3,2.0,295.84
31444,1964,3,2.0,94.25
31469,1990,3,2.0,316.65
31523,1973,3,2.0,298.24
31570,1990,3,2.0,1043.81
31574,1990,3,2.0,302.05
32093,1995,6,2.0,204.66
32169,1958,3,2.0,
32172,2004,3,2.0,5473.73
32176,1967,18,2.0,821.97
32237,1999,9,2.0,128.38
32439,1974,3,2.0,529.29
32442,1985,9,2.0,3575.19
32445,2001,3,2.0,10394.88
32449,2010,9,2.0,1995.32
32453,1998,3,2.0,8363.98
32456,1994,3,2.0,896.37
32458,1970,3,2.0,334.19
32476,1974,3,2.0,497.89
32493,1980,3,2.0,259.06
32494,1989,3,2.0,1269.95
32498,2017,3,2.0,20.41
32502,1978,3,2.0,1849.68
32505,1987,3,2.0,569.7
32522,1978,3,2.0,1309.71
32891,1963,3,2.0,118.34
33036,1988,3,2.0,299.67
33052,1997,3,2.0,105.71
33066,1992,9,2.0,533.39
33069,1992,9,2.0,1232.08
33125,2008,3,2.0,1463.4
33131,2009,15,2.0,1365.2
33135,2018,3,2.0,
33140,2021,6,2.0,3795.87
33143,2022,6,2.0,593.6
33145,2019,6,2.0,316.49
33357,1968,3,2.0,652.15
33361,1990,6,2.0,190.17
33365,1990,6,2.0,446.45
33372,1970,3,2.0,7219.96
33374,1973,3,2.0,782.23
33380,1983,3,2.0,1783.56
33382,2004,3,2.0,300.0
33387,1971,3,2.0,34.01
33402,2004,6,2.0,
34224,1993,3,2.0,206.82
34298,2008,3,2.0,
34301,1988,3,2.0,185.8
34403,1993,3,2.0,485.4
34494,1969,3,2.0,1160.1
34496,2001,3,2.0,919.11
34500,2004,12,2.0,2488.29
34502,2003,6,2.0,868.07
34505,2006,6,2.0,3155.04
34634,1988,3,2.0,1782.03
34637,2005,3,2.0,1763.56
34640,1990,3,2.0,1140.86
34642,1970,3,2.0,1872.28
34648,1989,3,2.0,4091.18
34651,1973,3,2.0,455.93
34657,2001,3,2.0,976.32
34661,1998,12,2.0,14748.32
34663,1989,3,2.0,1702.95
34667,1991,3,2.0,1483.2
34671,1979,6,2.0,40.0
34675,1989,3,2.0,
34680,1989,3,2.0,545.31
34684,1989,3,2.0,
34688,1989,3,2.0,2723.06
34691,1975,6,2.0,10348.61
34697,1975,3,2.0,1153.19
34703,2003,3,2.0,205.8
35047,1988,3,2.0,710.33
35049,1988,3,2.0,401.0
35053,1988,3,2.0,575.9
35056,1988,3,2.0,681.38
35058,1988,3,2.0,553.93
35139,1965,3,2.0,88.38
35403,2022,9,2.0,988.87
35410,1970,3,2.0,3116.44
35415,1987,3,2.0,49.0
35418,1985,3,2.0,313.02
35422,1984,3,2.0,
35424,1986,3,2.0,49.06
35428,2002,3,2.0,165.94
35430,1987,3,2.0,40.5
35435,1986,3,2.0,297.46
35437,1988,6,2.0,780.27
35441,1988,3,2.0,85.75
35443,1987,3,2.0,49.03
35445,1987,3,2.0,49.03
35447,1992,3,2.0,2152.53
35450,2006,3,2.0,369.23
35454,2003,3,2.0,397.61
35591,1970,3,2.0,116.72
35629,1970,3,2.0,77.18
35653,2002,6,2.0,2227.26
35657,2001,6,2.0,446.75
35663,2007,3,2.0,2110.84
35665,2008,3,2.0,3943.74
35674,2016,9,2.0,985.76
35678,1991,3,2.0,
35683,1974,6,2.0,60.75
35685,1990,3,2.0,
35687,1992,3,2.0,
35691,1992,3,2.0,
35695,2020,3,2.0,2716.52
35754,1996,3,2.0,
35783,2017,3,2.0,
36002,1988,3,2.0,244.13
36028,1975,3,2.0,7764.63
36030,1994,3,2.0,1655.75
36032,1997,3,2.0,290.14
36053,1965,3,2.0,226.15
36074,1969,3,2.0,492.28
36091,2006,6,2.0,1291.66
36113,2010,12,2.0,1356.47
36116,2021,3,2.0,1656.12
36144,2010,3,2.0,86.93
36147,1964,3,2.0,472.43
36189,1990,3,2.0,4883.49
36192,1994,3,2.0,988.69
36199,1991,3,2.0,1125.43
36213,1979,6,2.0,1182.6
36217,1994,3,2.0,1113.98
36220,1979,3,2.0,4893.58
36225,1989,3,2.0,868.34
36228,1989,9,2.0,302.19
36229,1989,3,2.0,2659.42
36236,1990,3,2.0,130.17
36239,1991,3,2.0,322.79
36242,1992,3,2.0,421.67
36243,1991,3,2.0,348.67
36253,2006,3,2.0,1320.0
36257,1970,3,2.0,836.44
36272,2013,3,2.0,1264.33
36276,1978,3,2.0,
36278,1986,3,2.0,12967.23
36283,2009,6,2.0,5642.1
36288,1978,3,2.0,
36292,1970,3,2.0,
36296,1973,3,2.0,159.63
36298,2015,3,2.0,25.22
36302,1967,3,2.0,499.98
36306,1973,9,2.0,1004.55
36312,1973,3,2.0,30.15
36700,2006,3,2.0,477.47
36702,1986,3,2.0,539.5
36704,1970,3,2.0,362.27
36708,1970,6,2.0,59.29
36715,1975,3,2.0,130.77
36727,2001,12,2.0,944.76
36836,1978,3,2.0,
36839,1992,3,2.0,382.79
36908,1975,3,2.0,945.78
36910,2017,3,2.0,4622.28
36913,1990,6,2.0,516.44
36916,1991,3,2.0,1127.16
36918,1989,3,2.0,1554.41
36922,1991,3,2.0,494.07
36927,2019,6,2.0,4256.23
36931,1991,3,2.0,
36935,2001,3,2.0,2400.53
36941,1970,3,2.0,748.05
36963,2009,12,2.0,18274.35
37199,1990,3,2.0,108.93
37360,2000,3,2.0,1002.46
37364,2000,3,2.0,135.81
37373,2000,6,2.0,426.94
37377,1919,6,2.0,56.0
37527,1970,3,2.0,4346.06
37530,1972,3,2.0,273.64
37536,1970,3,2.0,631.23
37624,2016,3,2.0,4482.67
37927,1998,3,2.0,1370.36
37928,1970,3,2.0,2082.79
37931,1979,6,2.0,749.78
37936,1990,3,2.0,942.41
37942,2012,3,2.0,2947.42
37948,2009,6,2.0,523.41
37951,2009,3,2.0,6105.26
