OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea,orientation,street_width,second_type
1961,1982,3,10,103.75,175.0,10.41,67
1967,2016,3,10,43.93,170.0,10.18,73
2001,1982,3,10,93.62,190.0,6.85,67
2015,1983,3,10,,330.0,9.08,67
2025,2020,3,10,,335.0,9.19,73
2036,2007,3,10,65.94,110.0,10.54,73
2049,1998,3,10,24.33,40.0,26.48,73
2051,2009,3,10,126.5,40.0,6.54,73
2055,1982,3,10,125.57,40.0,6.55,67
2058,1982,3,10,128.13,40.0,6.5,67
2067,2019,3,10,31.45,245.0,6.27,73
2076,2006,3,10,138.27,160.0,6.66,73
2078,1984,3,10,76.54,170.0,13.93,73
2092,1986,3,10,61.17,355.0,9.56,73
2095,2000,3,10,144.59,355.0,6.3,73
2098,1989,3,10,123.38,355.0,6.19,73
2130,1960,3,10,132.56,285.0,6.69,73
2133,2012,3,10,194.37,265.0,13.36,73
2153,2000,3,10,124.5,265.0,6.41,73
2155,1960,3,10,70.34,265.0,6.39,67
2158,2002,3,10,99.0,265.0,6.36,73
2162,2006,3,10,,265.0,6.29,73
2175,1977,3,10,80.42,95.0,10.34,67
2182,2007,3,10,94.71,175.0,35.45,73
2185,1978,3,10,138.78,175.0,17.44,73
2189,1998,3,10,,175.0,12.21,73
2192,1980,3,10,,175.0,12.14,67
2195,2010,3,10,64.23,355.0,6.12,73
2198,2004,3,10,90.0,285.0,20.67,73
2201,2006,3,10,130.35,355.0,6.37,73
2214,2002,3,10,103.72,95.0,10.12,73
2217,1973,3,10,,175.0,6.24,67
2219,1960,3,10,29.68,275.0,6.66,67
2233,1979,3,10,26.06,350.0,10.19,67
2242,2009,3,10,163.0,0.0,39.05,73
2251,1980,3,10,64.82,175.0,16.29,67
2255,1970,3,10,,175.0,6.36,67
2258,2008,3,10,115.48,15.0,6.78,73
2268,2000,3,10,109.0,175.0,6.43,73
2280,1983,3,10,63.07,20.0,8.57,73
2283,2002,3,10,91.27,115.0,12.11,73
2285,2006,3,10,112.72,180.0,8.47,73
2292,1997,3,10,90.28,290.0,13.63,73
2298,1993,3,10,118.39,295.0,13.63,73
2302,1984,3,10,133.16,100.0,44.87,73
2306,2002,3,10,140.31,100.0,50.09,73
2308,1995,3,10,103.5,225.0,13.2,73
2312,1980,3,10,,315.0,10.57,73
2318,2004,3,10,64.6,100.0,37.3,73
2320,2006,3,10,89.61,270.0,126.74,73
2325,1983,3,10,99.89,85.0,inf,73
2329,2002,3,10,90.06,85.31329791759389,inf,73
2338,2002,3,10,114.1,115.0,11.45,73
2343,1994,3,10,116.08,130.0,11.65,73
2346,1977,3,10,159.42,120.0,11.54,67
2350,2015,3,10,115.97,135.0,10.27,73
2359,1980,3,10,61.09,215.0,13.83,67
2364,1975,3,10,179.82,245.0,106.73,67
2367,2009,3,10,,320.0,10.12,73
2371,2001,3,10,77.31,315.0,10.05,73
2376,2018,3,10,92.67,290.0,18.77,73
2378,2000,3,10,93.59,290.0,9.46,73
2393,1993,3,10,112.01,260.0,10.58,73
2400,1994,3,10,171.11,95.0,31.61,73
2403,2002,3,10,109.57,90.0,32.11,73
2405,1983,3,10,126.91,85.0,31.75,73
2409,2004,3,10,37.42,95.0,30.63,67
2416,2019,3,10,128.88,90.0,30.08,73
2428,1996,3,10,115.26,85.0,30.72,73
2432,2004,3,10,132.38,0.0,34.85,73
2441,1985,3,10,101.1,95.0,10.5,73
2448,1993,3,10,73.98,95.0,9.84,73
2451,1980,3,10,,95.0,9.99,67
2458,2002,3,10,120.37,255.0,85.43,73
2463,1980,3,10,,275.0,16.61,73
2466,2004,3,10,65.4,275.0,11.3,73
2470,1985,3,10,130.26,275.0,10.18,73
2474,1985,3,10,154.84,275.0,10.41,67
2493,1985,3,10,975.24,285.0,24.0,67
2514,1975,3,10,,245.0,10.1,67
2517,1980,3,10,107.31,285.0,23.36,73
2524,1975,3,10,,255.0,10.52,67
2527,1982,3,10,62.49,90.0,32.18,67
2539,2002,3,10,135.0,255.0,10.36,73
2541,1982,3,10,,355.0,15.7,67
2547,1978,3,10,150.37,75.0,10.46,67
2550,1982,3,10,139.08,75.0,10.19,67
2558,2006,3,10,,75.0,10.24,73
2562,1982,3,10,88.67,175.0,10.17,73
2565,1960,3,10,75.19,200.0,19.17,67
2569,1992,3,10,104.12,260.0,10.28,73
2576,2006,3,10,100.76,260.0,10.26,73
2583,2006,3,10,,250.0,10.14,73
2587,1982,3,10,143.2,0.0,8.56,67
2594,1985,3,10,94.62,330.0,18.99,67
2605,2002,3,10,105.19,85.0,8.24,73
2607,1982,3,10,,85.0,8.3,73
2609,1991,3,10,153.74,85.0,8.36,73
2612,2004,3,10,104.92,85.0,8.43,73
2617,2000,3,10,174.36,140.0,45.1,73
2621,1980,3,10,,270.0,42.66,67
2623,1982,3,10,86.82,270.0,38.91,67
2629,1980,3,10,,270.0,30.93,67
2634,2006,3,10,,5.0,7.93,73
2637,2007,3,10,128.21,320.0,8.13,73
2640,2006,3,10,46.22,270.0,32.02,73
2642,2002,3,10,131.38,270.0,30.49,73
2648,1993,3,10,9.36,270.0,30.69,73
2655,1985,3,10,,270.0,30.34,73
2661,1982,3,10,73.6,345.0,7.74,73
2665,2002,3,10,65.82,355.0,8.05,73
2668,2000,3,10,144.35,10.0,8.04,73
2676,1981,3,10,43.0,170.0,6.85,73
2680,1985,3,10,,270.0,39.91,67
2686,1983,3,10,99.75,350.0,7.88,73
2688,2008,3,10,169.24,165.0,8.07,73
2690,1982,3,10,112.99,185.0,7.97,73
2693,2004,3,10,92.32,185.0,7.82,73
2696,1996,3,10,,185.0,7.79,73
2700,1980,3,10,87.64,350.0,7.95,73
2703,1982,3,10,76.58,350.0,7.92,73
2706,2007,3,10,28.62,350.0,8.0,73
2709,1979,3,10,105.15,355.0,8.0,73
2716,1985,3,10,,70.0,13.53,73
2719,2011,3,10,,340.0,78.75,73
2722,2021,3,10,,135.0,8.7,73
2729,1985,3,10,139.46,115.0,8.47,67
2731,1988,3,10,62.91,110.0,6.73,73
2735,1994,3,10,46.13,270.0,30.22,73
2743,1985,3,10,,270.0,30.22,73
2752,2011,3,10,89.4,340.0,44.47,73
2753,2009,3,10,177.48,270.0,29.9,73
2761,1980,3,10,112.0,5.0,8.12,67
2764,2024,3,10,,10.0,8.66,73
2765,1982,3,10,68.0,15.0,8.45,67
2769,1984,3,10,,95.0,8.07,67
2783,2002,3,10,73.0,35.0,8.14,73
2785,1982,3,10,,350.0,8.86,73
2790,1981,3,10,59.07,330.0,8.31,73
2794,1993,3,10,20.86,20.0,13.5,73
2799,1980,3,10,90.07,150.0,inf,73
2802,2002,3,10,49.16,150.0,inf,73
2806,2006,3,10,77.42,195.0,17.57,73
2812,1977,3,10,29.52,215.0,8.69,73
2820,2006,3,10,108.31,310.0,8.61,73
2822,2015,3,10,84.96,320.0,8.26,73
2825,2003,3,10,98.36,315.0,8.21,73
2828,1980,3,10,100.49,245.0,8.56,67
2834,1983,3,10,105.97,190.0,14.04,67
2837,1985,3,10,94.39,190.0,10.69,73
2842,1993,3,10,56.0,200.0,8.49,73
2845,1983,3,10,,210.0,8.67,73
2852,1985,3,10,94.46,270.0,28.15,73
2855,2003,3,10,101.1,285.0,8.36,73
2858,1985,3,10,90.03,285.0,8.66,73
2862,2006,3,10,133.12,20.0,10.09,73
2865,2005,3,10,49.9,10.0,8.53,73
2873,1992,3,10,81.62,345.0,97.09,73
2876,1960,3,10,103.0,325.0,15.05,73
2879,2004,3,10,108.47,30.0,19.12,73
2883,2006,3,10,,80.0,inf,73
2885,1980,3,10,119.48,80.0,inf,67
2890,1982,3,10,182.15,260.0,26.8,67
2893,1981,3,10,,260.0,8.61,67
2896,1981,3,10,110.04,265.0,8.47,67
2901,1981,3,10,59.16,265.0,8.34,67
2904,1980,3,10,37.87,270.0,8.35,67
2907,1984,3,10,14.47,265.0,8.24,67
2910,1993,3,10,8.52,325.0,25.26,73
2914,1982,3,10,197.35,125.0,16.34,73
