label,index
2,1061
1,6902
0,14921
2,11147
3,3164
0,4807
3,16824
4,8482
4,8713
2,8810
2,4495
5,16727
2,4704
4,22849
3,6590
2,14622
3,6601
4,18936
2,19559
4,21523
3,2208
3,2199
3,23426
2,19419
2,19788
3,21463
4,17999
0,2348
3,23566
2,8950
1,4644
0,16667
2,22909
0,6741
4,14762
5,18876
2,18775
1,253
1,14861
1,6842
4,13293
1,1121
2,13102
1,16964
2,4947
1,11396
1,3024
0,11007
5,8653
1,5528
3,24097
2,24306
1,24001
1,24390
2,23962
5,15498
2,15709
2,21867
5,13205
2,1226
2,13194
3,20799
3,20408
2,18472
2,154
4,8554
1,11300
2,3323
1,11091
1,16560
4,4543
2,14465
5,6446
3,12169
5,7829
2,21764
0,9638
2,23661
5,7969
2,12029
3,21624
4,9778
3,23721
2,4403
1,16420
4,4792
5,8886
1,6506
5,14525
0,6697
3,1366
3,13345
2,6994
2,20548
5,18532
1,385
1,8414
0,8785
5,3263
4,11240
4,4891
0,23822
3,24141
5,15649
3,21927
4,20459
2,13254
1,1277
3,6885
3,294
1,105
4,18423
1,8505
4,8694
3,11351
2,3372
0,4980
1,23933
2,24050
3,21836
3,15758
0,21735
5,7878
2,12138
1,9669
3,23630
2,16531
3,4512
2,4683
3,8997
3,14434
3,6417
0,6786
1,4452
2,16471
3,6557
4,14574
0,21675
5,12078
4,7938
4,9729
0,23770
3,24110
3,24281
2,23873
2,21976
5,15589
5,15618
4,20688
4,20519
2,1337
5,13314
5,13085
0,18563
3,8445
0,3232
2,11211
1,11180
3,8964
0,16653
3,4670
0,14756
0,6775
1,20838
4,18842
3,21457
3,23552
3,9999
3,24332
4,7788
5,7419
4,18741
4,267
0,13136
1,1115
0,6876
0,14855
2,1284
3,11033
2,3010
3,4973
4,16950
2,3381
0,8667
4,18601
0,18590
2,327
1,14915
5,6936
0,1055
4,13076
5,16810
2,4833
4,3150
3,11173
4,8727
2,23880
2,24272
4,7559
3,21985
2,21517
4,21686
2,23412
2,23783
5,8824
1,4730
5,16713
2,16482
2,6635
1,14616
1,14587
0,20978
4,18902
3,21406
0,21797
2,23503
2,23692
1,8935
3,16602
1,4621
2,16593
2,20869
4,14707
1,6724
3,14496
3,18813
1,236
0,18710
1,18481
0,6827
4,14804
1,13167
3,1144
0,4922
1,16901
0,11062
3,3041
4,8636
1,23991
3,24363
3,21894
2,7448
1,9888
1,24223
5,7699
5,7508
3,376
5,18650
0,1004
5,13027
2,14944
1,6967
2,1395
0,3101
2,11122
3,16841
0,4862
1,3290
5,8776
4,8875
0,4761
4,16742
2,20929
5,6664
1,14647
4,18953
0,21546
2,23443
1,14049
3,1909
3,25741
3,58
2,2463
5,10440
5,9214
1,9185
4,19332
5,12545
2,21348
3,7306
5,15325
3,7097
1,5203
3,17220
1,5192
1,22121
3,25842
0,8178
2,578
4,13629
1,20024
0,22061
3,8038
2,438
3,13769
5,20164
3,12897
2,15265
1,7246
5,10992
4,17360
0,5343
4,10500
3,2523
0,10691
4,9354
2,19272
3,12405
4,12794
3,21199
0,21208
3,1849
4,14298
1,14109
3,25601
2,25590
3,2432
0,10411
0,10780
5,9245
1,19363
1,21088
3,21319
1,12514
3,12685
3,1958
4,14389
4,14018
4,25710
1,25481
3,25813
0,22170
0,8129
3,529
2,20075
1,13678
1,12986
1,7357
2,15374
4,10883
2,5252
5,17271
2,15234
2,7217
4,7186
1,17331
1,5312
4,5083
2,22030
1,8069
3,469
4,20135
4,13738
2,14158
3,1818
2,25650
2,10551
2,2572
2,9305
3,9094
3,19223
0,21259
3,12454
2,7035
1,15016
1,15387
4,12975
3,5130
0,17113
4,17282
5,10870
3,2853
3,22212
2,22183
3,1539
4,20317
2,20086
2,948
2,6359
1,13988
3,25472
0,9127
3,2750
5,10773
2,12676
0,19001
3,19390
3,9067
1,10633
1,2610
1,2581
3,12736
1,19141
3,808
4,6188
4,6219
0,25532
4,22352
2,1479
1,20257
4,12835
0,15156
4,7175
2,2913
5,10930
3,17053
1,5070
2,22243
2,20346
3,1568
2,12924
2,7064
3,15047
2,10821
5,2802
3,5161
2,17142
5,9176
3,2701
1,10722
2,2490
2,12627
2,19050
0,919
0,6099
0,6308
3,25423
4,859
1,6248
2,13899
2,25563
3,9036
4,10662
0,2641
0,12767
4,19110
1,19281
5,15107
3,7124
4,15296
2,12864
1,17002
1,5021
1,17393
4,2942
4,10961
2,22303
0,22092
1,20206
4,20197
3,1428
1,22395
3,22004
3,11609
4,11598
1,20290
4,20101
4,15191
2,7223
5,15200
2,24508
1,24699
2,17094
0,5326
5,17305
2,23368
3,2546
4,10565
4,9331
3,19186
3,19217
1,12460
4,25664
2,3929
2,16069
0,25724
5,16129
0,3869
0,23228
4,2797
4,10425
3,2406
4,9271
3,19357
0,12520
3,15340
1,7363
0,24448
2,2894
3,17245
0,5266
1,22144
2,25827
0,11749
3,20041
2,7272
0,15251
4,2985
0,5377
5,17354
3,24559
0,11658
2,22055
1,20150
0,16038
4,3978
3,25635
3,2686
2,2517
0,10534
1,23339
4,9360
2,19246
2,12431
3,10474
3,2457
2,23279
4,9220
4,19097
4,19306
0,12571
3,3838
2,16178
3,25775
3,11718
0,11489
4,22284
2,22115
1,20381
3,20010
5,15080
2,15311
3,7332
4,17185
0,17214
1,5237
0,24419
5,24788
0,9393
2,9002
2,24938
4,2675
3,10656
1,12753
5,19124
5,25557
2,4379
2,22337
0,3519
5,3688
0,20232
4,18248
3,7281
1,12850
5,7110
2,15133
4,5384
3,10955
4,2976
5,5015
1,17036
5,15073
3,7050
2,12910
3,17176
3,5155
3,2836
4,10815
0,22277
