label,index
3,11124
4,22729
2,18955
0,21861
3,152
2,11097
4,11246
2,24147
2,23824
2,292
3,23636
0,16477
3,19609
0,18565
3,1036
0,11110
2,24211
0,16630
0,20649
4,13044
0,315
0,16822
3,11141
3,21525
4,9539
0,13295
1,16962
0,4941
0,11223
3,3200
0,21804
0,21587
1,24173
0,21915
2,13377
3,11332
0,21855
2,6474
2,8368
0,17170
1,9144
0,21389
2,1729
4,12466
3,19211
3,13809
1,19351
2,1669
0,1778
0,10532
2,12437
1,22113
3,1638
1,15086
1,24718
2,25474
3,12833
4,7062
0,12922
0,24749
4,10664
0,9030
3,15290
3,2944
0,24609
3,24598
1,22094
2,4169
3,20022
1,12891
3,12792
0,25487
0,3758
3,5254
3,3618
0,22036
0,12452
4,2886
3,19205
0,20002
2,22107
0,25864
2,4149
2,12423
0,10526
4,9372
0,2997
1,10807
0,12902
3,12842
3,24738
0,2875
2,12813
3,12786
3,25582
1,25613
0,1758
3,22133
3,13938
4,25642
3,13829
0,12446
3,10543
4,1649
2,6029
0,12876
2,22080
2,12775
0,21178
2,10833
4,24153
0,6514
3,14477
1,7738
3,9929
0,146
0,23622
3,6405
4,9459
2,14595
2,14604
4,18910
3,24320
2,4961
1,8675
4,14744
3,12359
4,7988
0,24231
4,20638
2,12219
2,14484
2,16610
0,23616
0,23915
2,13272
4,11237
4,3214
3,23647
0,2069
2,17929
2,14443
3,11326
2,24167
2,11266
0,14503
3,21602
0,21593
4,18835
3,25029
0,25169
2,11104
1,4844
0,22709
2,17799
0,24205
2,11015
1,4955
4,1133
3,13281
0,24314
2,17519
3,23424
0,6603
0,14620
4,311
2,22748
2,4945
2,22599
1,16665
0,25179
1,4757
3,16774
0,23475
3,24215
0,17418
3,19998
4,6951
0,1032
0,22719
0,18726
0,25039
3,18825
0,5759
3,24177
4,2139
4,17939
4,23657
1,5588
2,1301
3,23606
2,16696
0,4524
2,13165
0,16903
1,3043
2,16600
3,14494
3,20628
3,11120
0,24221
1,8665
1,4971
4,24330
0,21455
4,6777
1,18592
2,325
0,23632
2,24052
0,296
3,11353
2,13087
3,24283
0,11093
2,21865
0,21925
0,387
0,14527
4,14329
2,12926
1,7066
4,618
1,589
2,22090
4,20195
1,13798
4,10660
3,21168
2,19392
0,13458
1,10631
4,10881
2,1659
4,13979
3,25483
3,19361
0,12456
3,25652
0,1719
4,5081
3,1599
0,20026
1,7095
3,17222
3,5201
4,9187
2,13868
2,1748
3,2
3,16098
2,12640
1,7392
4,5297
3,24728
3,12751
2,12580
4,11478
2,12912
0,2684
3,10536
2,12433
4,11959
1,22117
0,20383
0,12462
2,19184
2,19215
4,20103
0,25825
0,20043
2,15342
4,19344
0,19195
3,19204
3,9322
1,17207
2,20392
3,20003
2,22106
2,3668
0,22046
0,2996
2,12422
0,2695
0,10527
0,20361
1,10806
0,15060
0,12903
1,12591
1,5286
1,10857
2,24739
3,10917
3,15171
3,1759
3,25583
4,10682
3,6079
3,20037
3,22132
2,25851
3,1708
0,12447
3,10542
2,13828
4,13968
0,1648
0,2900
0,12826
3,14369
1,19103
3,21179
4,10671
0,9025
2,22310
1,22081
0,17011
0,15054
2,13558
2,16433
3,7679
0,24152
3,147
3,16462
3,24292
2,23860
4,8687
2,116
0,23623
2,14605
3,14594
4,8837
2,21444
2,4960
0,24321
4,11131
3,4871
3,16852
4,20639
0,13034
1,18643
4,14714
2,16611
2,23510
2,16912
3,14817
0,225
1,8522
2,18795
2,14881
0,23914
0,23586
2,23617
3,2039
4,3215
0,1081
4,8573
0,23646
0,14502
2,24166
2,23524
0,6800
0,22708
1,16866
2,11105
3,25168
1,16765
4,18865
2,24315
2,4954
3,11014
0,22619
2,13280
3,18626
0,23435
1,14631
0,310
0,22749
2,8813
0,23425
1,22598
2,4944
1,341
3,1033
0,22718
3,24214
0,19999
4,25178
2,16635
0,25038
2,18824
2,21431
1,14512
2,24176
3,13232
3,11337
2,21753
0,21801
0,1240
3,3345
4,11366
2,17969
4,23607
0,16601
3,14495
